SampleID,Sample,Moisture,pH,PO4,TN,TC,Cd,Co,Cu,Fe,Mn,Ni,Pb,Zn,Temperature,Transect,Env. Type,Filtered,# OTUs,pH bins,clusts
S1,1.1,0.500,9.490,5.235,0.086,1.023,0.016,0.020,0.016,8.240,7.280,-,0.320,0.232,17.1,1,Pool A,S1,29,>8,a
S10,2.5,0.755,6.400,55.743,0.590,15.717,0.100,0.279,80.240,167.265,69.062,0.419,6.387,9.780,15,2,Creek,S10,58,6-8,b
S11,3.1,1.948,9.410,34.531,0.340,4.316,0.067,0.012,28.752,22.891,27.683,0.123,2.020,7.960,31.1,3,Creek,S11,25,>8,a
S12,3.2,0.125,5.100,4.649,0.128,2.780,-,-,-,-,-,-,-,-,16.7,3,Creek,S12,29,<6,b
S13,3.3,0.174,4.780,7.364,0.091,1.798,0.064,0.155,2.191,151.275,36.255,0.211,1.873,1.434,16.2,3,Creek,S13,31,<6,b
S14,3.4,0.129,6.140,20.157,0.116,3.437,0.314,0.266,2.107,187.753,126.282,0.596,7.316,6.720,12.3,3,Creek,S14,32,6-8,b
S15,3.5,0.199,4.710,7.132,0.102,2.885,0.115,0.338,2.266,256.461,95.905,0.318,3.022,2.068,11,3,Creek,S15,23,<6,b
S16,4.1,0.632,10.300,21.667,0.202,2.808,0.092,0.016,5.491,9.980,24.850,0.036,1.042,2.725,22.7,4,Creek,S16,41,>8,a
S17,4.2,0.159,4.900,3.969,0.088,2.030,0.000,0.012,1.964,116.270,10.913,0.000,1.567,0.714,18.6,4,Creek,S17,31,<6,b
S18,4.3,0.191,4.800,12.915,0.330,8.780,0.060,0.239,4.573,239.960,107.952,0.398,6.362,3.777,14,4,Creek,S18,40,<6,b
S19,4.4,0.280,5.200,16.851,0.096,2.485,0.040,0.100,0.922,145.531,4.489,0.160,1.764,1.483,14.3,4,Creek,S19,20,<6,b
S2,1.2,0.256,5.910,2.716,0.111,1.291,0.087,0.075,5.118,90.276,33.701,0.181,1.850,2.087,17.8,1,Pool A,S2,56,<6,b
S20,4.5,0.200,5.500,11.151,0.143,3.236,0.088,0.052,1.242,131.904,55.912,0.156,2.164,2.445,12.9,4,Creek,S20,33,<6,b
S21,5.1,1.595,9.220,78.990,0.652,6.515,-,-,-,-,-,-,-,-,21.2,5,Creek,S21,30,>8,a
S22,5.2,0.125,5.710,6.372,0.184,2.919,0.123,0.158,4.277,98.059,53.703,0.202,2.218,2.535,28.2,5,Creek,S22,57,<6,b
S23,5.3,0.129,5.520,10.772,0.114,1.933,0.131,0.207,2.425,92.286,62.028,0.191,2.425,2.863,19.4,5,Creek,S23,42,<6,b
S24,5.4,0.083,5.600,6.350,0.133,2.743,0.163,0.198,3.095,124.841,62.460,0.262,3.532,2.540,25.4,5,Creek,S24,39,<6,b
S25,5.5,0.199,6.300,14.082,0.108,2.043,0.191,0.231,1.948,117.137,119.085,0.338,3.181,4.414,11.8,5,Creek,S25,37,6-8,b
S26,6.1,0.809,9.000,22.404,0.228,2.618,0.024,0.000,45.129,9.940,17.137,0.024,0.557,8.509,20.7,6,Creek,S26,30,>8,a
S27,6.2,0.369,6.600,16.941,0.310,7.563,0.060,0.000,1.076,86.454,28.685,0.100,2.590,6.574,19.8,6,Creek,S27,57,6-8,b
S28,6.3,0.211,4.800,8.381,0.204,5.188,0.002,0.060,5.976,205.378,54.183,0.179,6.175,3.586,17,6,Creek,S28,26,<6,b
S29,6.4,0.214,4.200,9.362,0.468,18.180,0.139,0.319,9.562,544.821,82.271,0.757,15.538,10.757,15.1,6,Creek,S29,30,<6,b
S3,1.3,0.194,5.910,5.929,0.132,1.966,0.095,0.111,1.786,70.238,61.389,0.214,0.873,2.619,16.8,1,Pool A,S3,36,<6,b
S30,6.5,0.174,4.600,6.525,0.250,7.039,0.008,0.239,2.386,319.881,72.565,0.278,9.940,2.386,15.3,6,Creek,S30,29,<6,b
S31,7.1,0.614,8.500,13.879,0.125,1.349,0.012,0.016,68.254,10.794,9.921,0.032,2.063,7.738,19.7,7,Creek,S31,37,>8,a
S32,7.2,0.704,7.500,5.967,0.172,2.199,0.089,0.020,0.605,24.355,16.653,0.085,0.685,1.048,25.7,7,Creek,S32,40,6-8,b
S35,7.5,0.495,8.800,17.509,0.150,1.475,0.000,0.000,1.720,6.800,9.600,0.000,0.620,0.860,15.5,7,Creek,S35,27,>8,a
S36,8.1,0.368,8.970,23.217,0.199,1.806,0.052,0.024,7.920,12.000,19.800,0.076,1.280,1.720,23,8,Creek,S36,39,>8,a
S37,8.2,0.249,6.590,2.678,0.189,2.300,0.108,0.116,24.502,66.693,74.422,0.219,2.351,2.669,19.1,8,Creek,S37,67,6-8,b
S38,8.3,0.150,6.260,4.010,0.185,3.232,0.120,0.179,40.717,164.502,44.821,0.295,3.586,2.510,22.6,8,Creek,S38,62,6-8,b
S39,8.4,0.145,6.570,4.841,0.143,2.083,0.079,0.175,18.016,67.619,75.675,0.163,2.460,2.103,22.3,8,Creek,S39,32,6-8,b
S4,1.4,0.190,6.080,3.887,0.100,2.818,0.218,0.174,2.970,130.297,92.752,0.368,4.634,6.059,12,1,Pool A,S4,32,6-8,b
S40,8.5,0.120,6.280,1.595,0.077,1.035,0.068,0.084,33.653,64.311,76.527,0.160,1.637,0.878,19.6,8,Creek,S40,48,6-8,b
S41,9.1,1.190,9.900,4.225,0.043,0.420,0.000,0.000,15.149,1.948,9.503,0.000,0.398,2.744,19.1,9,Pool B,S41,29,>8,a
S43,9.3,0.399,6.500,6.765,0.219,2.839,0.085,0.048,3.139,45.875,20.523,0.113,1.529,1.972,13.2,9,Pool B,S43,37,6-8,b
S48,10.3,0.084,5.550,8.396,0.167,2.640,0.184,0.132,2.754,119.521,56.487,0.232,3.473,3.792,16.2,10,Pool B,S48,53,<6,b
S49,10.4,0.113,5.380,11.135,0.299,5.348,0.262,0.310,2.068,174.274,161.511,0.302,6.203,7.356,15.9,10,Pool B,S49,54,<6,b
S53,11.3,0.068,5.500,38.931,0.412,6.926,0.228,0.120,0.319,185.150,20.639,0.259,4.790,8.743,15.3,11,Pool C,S53,48,<6,b
S54,11.4,0.108,5.200,8.733,0.289,6.522,0.151,0.254,3.730,189.444,56.786,0.302,4.444,4.286,17,11,Pool C,S54,57,<6,b
S55,11.5,0.079,5.500,5.168,0.189,3.580,0.115,0.166,1.465,148.713,37.030,0.230,3.644,2.139,17.2,11,Pool C,S55,34,<6,b